player_id,team,player,interceptionsAVG,interceptionsINT,interceptionsTD,interceptionsYDS,kickReturnsAVG,kickReturnsLONG,kickReturnsNO,kickReturnsTD,kickReturnsYDS,kickingFGA,kickingFGM,kickingLONG,kickingPCT,kickingPTS,kickingXPA,kickingXPM,passingATT,passingCOMPLETIONS,passingINT,passingPCT,passingTD,passingYDS,passingYPA,puntReturnsAVG,puntReturnsLONG,puntReturnsNO,puntReturnsTD,puntReturnsYDS,puntingIn 20,puntingLONG,puntingNO,puntingTB,puntingYDS,puntingYPP,receivingLONG,receivingREC,receivingTD,receivingYDS,receivingYPR,rushingCAR,rushingLONG,rushingTD,rushingYDS,rushingYPC
105818,NC State,Troy Graham,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,
105855,NC State,Joseph Gray,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105868,Vanderbilt,Chris Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,9.0,0.0,95.0,10.6,2.0,8.0,0.0,13.0,6.5
105869,Vanderbilt,Lorenzo Parker,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105871,Vanderbilt,Norval McKenzie,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,1.0,0.0,21.0,,,,,,,18.0,9.0,0.0,51.0,5.7,90.0,29.0,1.0,390.0,4.3
105879,Vanderbilt,Abtin Iranmanesh,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,60.0,36.0,0.0,1404.0,39.0,,,,,,,,,,
105895,Minnesota,Justin Fraley,17.0,1.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105903,Minnesota,Ukee Dozier,6.7,3.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105938,Maryland,Sammy Maldonado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,6.0,0.0,52.0,8.7,138.0,40.0,5.0,560.0,4.1
105947,Ohio State,Josh Huston,,,,,,,,,,28.0,22.0,47.0,0.786,110.0,45.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
